,Label,size_ratio,0_dist,0_angle,1_dist,1_angle,2_dist,2_angle,3_dist,3_angle,4_dist,4_angle,5_dist,5_angle,6_dist,6_angle,7_dist,7_angle,8_dist,8_angle,9_dist,9_angle,10_dist,10_angle,11_dist,11_angle,12_dist,12_angle,13_dist,13_angle,14_dist,14_angle,15_dist,15_angle,16_dist,16_angle,17_dist,17_angle,18_dist,18_angle,19_dist,19_angle,20_dist,20_angle
23,Thumb right,1.302325581395349,0.37869248973689346,0.9447498043013652,0.19968770893285373,1.452306367636759,0.1583515888048841,-0.4636476090008061,0.2842498010619653,0.20065287731988662,0.41513761566744145,0.3001711708301121,0.12356385515645583,-1.4559197213779975,0.30307315584055156,-1.4928296929633542,0.2176334422089707,-1.5056711634605107,0.13252849700599154,-1.4994888620096063,0.20794430411037218,-0.6889243882148613,0.32093283181453774,-1.113727570247107,0.24536265142512076,-1.0468769791096977,0.18039420904345482,-0.8224182792713783,0.30947732960834695,-0.3748407153555978,0.3705712891633236,-0.7763893981070313,0.31557511284070255,-0.6794138054078485,0.2681503360001248,-0.45577375597670555,0.40461507919150724,-0.19968388537510157,0.4292337518533219,-0.5177818586126866,0.3759159844579662,-0.4411794804149806,0.3495551295403719,-0.2875758307804471
24,Thumb right,1.3,0.37620194448961664,0.9447498043013652,0.19371801984505155,1.449444326224133,0.15526936781646705,-0.43662715981354133,0.28238037663380694,0.20065287731988662,0.4138184180446757,0.31099828060554097,0.12741151759294062,-1.460139105621001,0.30575598912378854,-1.4940244355251187,0.2212307620718413,-1.4858945333451747,0.13633547078730296,-1.501939837493852,0.20958950894011705,-0.7061990924279968,0.3230374310326553,-1.120135000714263,0.24782106252370414,-1.0563450137358688,0.18267255285033324,-0.8398896196381795,0.30918994974553526,-0.388956880179007,0.37143560552794924,-0.7853981633974483,0.3164676578221864,-0.6909432280024016,0.2726709415746059,-0.4636476090008061,0.4084951709637856,-0.21991427524262383,0.4287515556108289,-0.5272870470142864,0.3754703465344234,-0.45247488956206683,0.35309813888211466,-0.29654580906970046
25,Thumb right,1.2945736434108528,0.382910245367222,0.9347208240911457,0.20261040661704954,1.382574821490126,0.1483497061070347,-0.4636476090008061,0.2806748148178412,0.20401797959254858,0.41217165170514397,0.3035707393236639,0.09016291365814603,-1.5182132651839548,0.3050955827594981,-1.4618543698050308,0.22453385102975648,-1.4438235371808177,0.13872798024886665,-1.433730152484709,0.1813812810062921,-0.5807563535676704,0.32643127461868654,-1.087670661977563,0.2511594492394943,-1.014197008784674,0.1843287663222138,-0.8035779784704266,0.29685075086824314,-0.2914567944778671,0.37878266605917205,-0.7588557256460511,0.321300132248895,-0.6494007453600643,0.27571029881909703,-0.42520501897961815,0.4021053955841318,-0.1418970546041639,0.43496930154371305,-0.5123894603107377,0.3839644511578845,-0.41947746175536094,0.35746192157508316,-0.2546246661945415
26,Thumb right,1.2923076923076924,0.38038163341591036,0.9347208240911457,0.19506589841578778,1.4254863161591944,0.14960871460296699,-0.4214192068878042,0.28440854264510024,0.21687361566640828,0.41536080566548134,0.31099828060554097,0.0942688894932105,-1.5208379310729538,0.30689560551602174,-1.4940244355251187,0.22718567769867234,-1.4670039863378537,0.13781186679125418,-1.433730152484709,0.1828087064016558,-0.6022873461349642,0.3242414589660564,-1.120135000714263,0.25109458100318666,-1.0400228295919898,0.1865288578307715,-0.8210972760767723,0.29489044720574537,-0.2914567944778671,0.3761635024651214,-0.794247489913706,0.31764719883951636,-0.6909432280024016,0.2736872430887466,-0.4636476090008061,0.4001429139252345,-0.15354378253955608,0.4262880230458315,-0.5328438876193887,0.3748356020579718,-0.4411794804149806,0.35177818961696167,-0.27094685033842053
27,Thumb right,1.2846153846153847,0.38748996626449406,0.9151007005533605,0.2040033367513931,1.3370531459259951,0.1415964891569997,-0.4487233440107211,0.27894315465599445,0.1874291124436737,0.40959053509460036,0.29256176640384757,0.061426768559714046,1.570796,0.30843956648706794,-1.4787494779314898,0.22920562973345907,-1.4259838285559576,0.13993105666168404,-1.366778347202348,0.15642983745249156,-0.43662715981354133,0.3338836095894888,-1.1008196883778887,0.25949559234433317,-0.992894389832651,0.18722513101034682,-0.7496990507181244,0.27894315465599445,-0.1874291124436737,0.38424973645484334,-0.7767027303856697,0.3261713186807208,-0.6724785026448457,0.27922315789313695,-0.41822432957922906,0.39828720792074396,-0.08314123188844122,0.4360458357623755,-0.5218342798144103,0.3867979163602742,-0.4417931655174437,0.35764629310644824,-0.26741079718387356
28,Thumb right,1.2923076923076924,0.38038163341591036,0.9347208240911457,0.20220616381127643,1.35970299357215,0.14340694787641495,-0.4048917862850834,0.28440854264510024,0.21687361566640828,0.41394451031388907,0.3001711708301121,0.07546798707368924,1.5083775167989393,0.30689560551602174,-1.4940244355251187,0.23239349601785647,-1.4489538897749794,0.14714431466963837,-1.442473099109102,0.1578964863973538,-0.4636476090008061,0.3347670317059931,-1.1197266708063731,0.2599837025160884,-1.0179551052023572,0.18641001177994806,-0.7853981633974483,0.2788213316588833,-0.20401797959254858,0.3828207467443882,-0.7940935964092269,0.32128906657838524,-0.6816058229404055,0.2801297076955378,-0.4335814839517618,0.39722465959751146,-0.09495170634275632,0.43678987095171246,-0.5311776192257647,0.3853594502012499,-0.4417931655174437,0.3551013618930962,-0.2546246661945415
29,Thumb right,1.3076923076923077,0.39189384535381633,0.886744666663116,0.21310759526955403,1.3045442776439713,0.13806207071885834,-0.41822432957922906,0.27584724587490184,0.1874291124436737,0.4127075367824418,0.2751892491291713,0.03767245643436497,1.446441332248135,0.30501628562720484,-1.4787494779314898,0.22360679774997896,-1.3815973046949284,0.13607087801140536,-1.2924966677897853,0.143946253919535,-0.22923193327699534,0.33646635342467685,-1.0947269964721353,0.2618376442856632,-0.9629943306809362,0.18608820747349544,-0.6786624907483126,0.2720213836957913,-0.08599429119424074,0.38333175115172496,-0.7681584922029187,0.3280882829321704,-0.6235607321590254,0.27785830952964585,-0.3430239404207034,0.3972064019677832,-0.011764163149758748,0.4393325624588749,-0.5112307122777896,0.3914478778177689,-0.4048917862850834,0.36197541473608735,-0.194863919688872
30,Thumb right,1.2727272727272727,0.3932705932959512,0.9034901918165422,0.21025663220100224,1.277207339386147,0.13213512611244402,-0.4002406570339741,0.2747158618771621,0.2408464552414116,0.41156178819586653,0.3001711708301121,0.04315176715689296,1.3521273809209546,0.3101846402403083,-1.4801364395941514,0.23317930923619917,-1.3891474967948847,0.1396317323533085,-1.3339475658479765,0.13508639859687768,-0.24497866312686414,0.33490690620221886,-1.1071487177940904,0.2622732191821636,-0.9629943306809362,0.18937099564687518,-0.697902822595057,0.26781103036390724,-0.0874953408023913,0.38723611029631555,-0.7768513629648368,0.3248459420784305,-0.6319742418186031,0.27992945132960995,-0.3587706702705722,0.3932705932959512,-0.023805026185069942,0.4423721623684699,-0.5204584494511494,0.3964053783373321,-0.4002406570339741,0.3671705743035788,-0.19239560151592244
31,Thumb right,1.282442748091603,0.3973305216837691,0.8942103682146934,0.21536239893072323,1.2835148733977624,0.13441593467497318,-0.4324077755705379,0.2734234506888198,0.20749622643520266,0.41138903562943097,0.28927100560914176,0.0387077819999112,1.3258176636680326,0.30601188573246724,-1.4940244355251187,0.2301500437437106,-1.3654009376051293,0.13669157771695623,-1.2924966677897853,0.13441593467497318,-0.21109333322274654,0.3316840694283133,-1.1008196883778887,0.2619407907450076,-0.9380474917927134,0.18693706578376232,-0.6786624907483126,0.2635341702628163,-0.07130746478529032,0.38171839708094385,-0.7767027303856697,0.3241925419106254,-0.6000502134017536,0.2820313791037492,-0.3217505543966422,0.39432461578120487,-0.011904199558309828,0.44133661796393514,-0.5112307122777896,0.393989210603603,-0.3782939913414596,0.3665536430142343,-0.1672539374622611
32,Thumb right,1.2748091603053435,0.39880509650009566,0.8942103682146934,0.2175435455917616,1.2627435457711202,0.13491477969534757,-0.4324077755705379,0.2754473709477768,0.22423475110909613,0.40978595425159065,0.3035707393236639,0.0402544625303469,1.2120256565243244,0.30714755841697555,-1.4940244355251187,0.23100417761956482,-1.3654009376051293,0.13267503045785303,-1.2827408797442708,0.13491477969534757,-0.21109333322274654,0.33291501683623725,-1.1008196883778887,0.26291290658389266,-0.9380474917927134,0.18470962903655977,-0.6588060361174762,0.26921186405310565,-0.07006058263845542,0.3831350321103366,-0.7767027303856697,0.32539568672798425,-0.6000502134017536,0.28307805522437013,-0.3217505543966422,0.3958721528173567,-0.023805026185069942,0.4365641250653994,-0.507098504392337,0.39983348365336846,-0.37394191998374604,0.37256050764070003,-0.16514867741462683
