,Label,size_ratio,0_dist,0_angle,4_dist,4_angle,8_dist,8_angle,12_dist,12_angle,16_dist,16_angle,20_dist,20_angle
1034,You,0.5220125786163522,0.4465875865828532,1.5208379310729538,0.0449501502634169,0.1243549945467614,0.441723529730349,-1.4949924894337574,0.1421448559992151,1.124690777851493,0.1695685614933916,-1.40564764938027,0.2496500503767081,-1.0571903220721477
1035,You,0.5408805031446541,0.4425912508532956,1.5582969777755349,0.0421301405255723,-0.4048917862850834,0.4438340992462176,-1.395402106251474,0.1366292953282415,1.1978086049948355,0.1596619435690784,-1.3258176636680326,0.2504700724928121,-1.037952439175508
1036,You,0.5605095541401274,0.4389363074093464,1.570796,0.0372718261200016,-0.4636476090008061,0.4413210859784665,-1.380808038876181,0.1335790448386896,1.2753554896511767,0.1725094662469364,-1.3101939350475558,0.2591814170536636,-1.0303768265243125
1037,You,0.5576923076923077,0.4366819371641287,1.570796,0.0395872767936452,-0.1418970546041639,0.4508085337667307,-1.319793640151862,0.1382724133875864,1.1978086049948355,0.164751573654953,-1.400061115319614,0.2458239202774999,-1.0460005551447893
1038,You,0.5882352941176471,0.4355726931789848,-1.4801364395941514,0.0788697974654168,0.0,0.4786866202259914,-1.1071487177940904,0.1443993953436335,1.2120256565243244,0.1713379459981596,-1.40564764938027,0.2396745812889963,-1.054565656183149
1039,You,0.6554054054054054,0.4266907041951981,-1.3708033701887157,0.1188088509547188,0.0475831032769833,0.5015544450680137,-0.9859187130748626,0.1250937757017424,1.2490457723982544,0.1537281924955517,-1.272297395208717,0.2430656144333738,-0.9505468408120752
1040,You,0.6870748299319728,0.4283640461704929,-1.3194685426340562,0.1133913222086076,0.1488899476094972,0.4992921742420488,-0.9609903253476284,0.1294439538547978,1.2627435457711202,0.1595734647844478,-1.2490457723982544,0.2489841037814848,-0.9453112865556677
1041,You,0.7310344827586207,0.4296012165884987,-1.240849234648342,0.1081015105341791,0.2074962264352026,0.497755415639754,-0.936243525018388,0.1401863461566067,1.4513674007765582,0.1718729525888914,-1.1361261116456518,0.2652029406575731,-0.8894981015070477
1042,You,0.7310344827586207,0.4278298067114311,-1.253160975505366,0.1081015105341791,0.2074962264352026,0.497755415639754,-0.936243525018388,0.1401863461566067,1.4513674007765582,0.166839644486871,-1.1220729827841756,0.2539175709830067,-0.9097531579442096
1043,You,0.7943262411347518,0.4302372442654432,-1.1591249833630015,0.0958667798338568,0.1746721990082397,0.4978287474975745,-0.8960553845713439,0.1332819227536957,1.570796,0.1756143528451249,-0.9652516631899266,0.282842712474619,-0.7576275268040272
1044,You,0.8071428571428572,0.4301426587900034,-1.1302659861783837,0.0959496711761301,0.1746721990082397,0.5017501576223985,-0.8874050813075604,0.1227849873130122,-1.4801364395941514,0.1701395007645535,-0.901157381118259,0.2714435649390713,-0.7419472680059175
1045,You,0.9044117647058824,0.438754574002572,-1.0069269680141963,0.0717285257944104,0.1526493283952651,0.5018330710771918,-0.8315192794119595,0.127661261820165,-1.2220253232109897,0.1850951729471277,-0.7853981633974483,0.2836302111099505,-0.6627295078929916
1046,You,0.9545454545454546,0.444012552916184,-0.9519815600572116,0.0659875318098378,0.0831412318884412,0.5,-0.8086497862079113,0.1353451821023501,-1.1978086049948355,0.1979625954295133,-0.7266423406817256,0.2904899041006147,-0.6246354227716135
1047,You,1.007751937984496,0.457944849287031,-0.886744666663116,0.0709831632363987,0.3947911196997615,0.4980807504575211,-0.7776463806852415,0.1442579339589061,-1.0563450137358688,0.218409733035073,-0.6435011087932844,0.305968572795045,-0.6078019961139605
1048,You,1.0393700787401574,0.4642624194085124,-0.851966327173272,0.0675274013268802,0.2449786631268641,0.498111355682314,-0.7621465405869854,0.1517833271618314,-0.9129077216126866,0.2332199811810524,-0.56852454773104,0.3090157215747628,-0.5585993153435624
1049,You,1.0555555555555556,0.4637299151791773,-0.8353565591193911,0.074240782111898,0.2984989315861793,0.5019847394922997,-0.7546386373269791,0.1441030136193806,-0.9197196053504167,0.2331782876020562,-0.56852454773104,0.307316802115998,-0.5830765350191446
1050,You,1.1147540983606556,0.4799765322803233,-0.769270529553812,0.0685814495231314,0.49934672168013,0.5,-0.7311877639227848,0.1550043970075419,-0.7354397676755056,0.2398946243601226,-0.4738513364947603,0.3285861281596249,-0.5232783221319754
1051,You,1.1074380165289257,0.485706990045601,-0.769270529553812,0.0700601681119396,0.3217505543966422,0.4981482413891636,-0.7303357680237781,0.1568550002990488,-0.8353565591193911,0.2551431268029159,-0.473356041834915,0.3325091302295994,-0.5232783221319754
1052,You,1.1239669421487604,0.4817331978255137,-0.769270529553812,0.0694869736620201,0.3217505543966422,0.4981784727861119,-0.722979353401491,0.1555716974175901,-0.8353565591193911,0.2481789303767233,-0.483447001567199,0.3250419849802165,-0.5317240672588056
1053,You,1.115702479338843,0.4797677382853564,-0.7772682612175044,0.0735930116086713,0.2267988480538859,0.5002281473037643,-0.722979353401491,0.1603448179968133,-0.8584387287005677,0.2443295955397499,-0.4939413689195812,0.3216370225066482,-0.5404195002705842
1054,You,1.0731707317073171,0.4743602676264062,-0.810186473434748,0.0771978767851617,0.3671738338182192,0.4981148993800165,-0.746048407008843,0.1507718802110601,-0.9420000403794636,0.2406357608070053,-0.5048613716591264,0.327944646940621,-0.5317240672588056
1055,You,1.0743801652892562,0.4739496403920173,-0.81060290872439,0.0659056358439189,0.348771003583907,0.4980861249775189,-0.7454194762741583,0.1442162473107522,-0.8960553845713439,0.2318863554063888,-0.507098504392337,0.3254621646532501,-0.5255837935516101
1056,You,1.1206896551724137,0.4748587600625787,-0.7768513629648368,0.0618168288741792,0.3805063771123649,0.5,-0.7285489160646106,0.1339911082025549,-0.8156919233162234,0.2285032393627322,-0.4411794804149806,0.3312072575645556,-0.486899231811269
1057,You,1.1196581196581197,0.4670678217144029,-0.802637834591978,0.064914855092416,0.2662520491509253,0.5002430527567999,-0.7209713239718948,0.1458224314826111,-0.8960553845713439,0.2317574320132041,-0.4856220932974687,0.3213121396491261,-0.5191461142465229
1058,You,1.2285714285714286,0.4858289656352463,-0.7153375807589929,0.0537739336764084,0.4636476090008061,0.500451614160749,-0.6747409422235527,0.1360384873314259,-0.7853981633974483,0.228934273247815,-0.4048917862850834,0.3388717934378257,-0.4398425828157362
