,Label,size_ratio,dist_0,angle_0,distC_0,angleC_0,dist_4,angle_4,distC_4,angleC_4,dist_8,angle_8,distC_8,angleC_8,dist_20,angle_20,distC_20,angleC_20
0,Hi,0.702020202020202,0.44293302263138745,-1.1781588290347698,2.0120865034571143,0.9753864513161641,0.27331871199298075,0.060532019782107135,2.0219386233681997,0.681126551469793,0.42710393370195293,-0.8264709419879024,1.8460158329117757,0.5358112379604637,0.3447785909896151,0.9129077216126866,1.4661960592763525,0.735539319691105
1,Hi,0.7788461538461539,0.45731979379466786,-1.0403338232065944,0.046299439979033234,-0.960070362405688,0.22391541616966598,-0.033885329904117606,0.023071905584508067,-0.16514867741462683,0.398716072577495,-0.6910842120702678,0.10538802212518333,0.5280744484263598,0.3575290375871036,0.852964330833947,0.007585995826595888,0.0
2,Hi,0.6774193548387096,0.45753307677905614,-1.140718191739034,0.06878118180808021,-0.3392926144540447,0.17968371745496922,-0.06374331253268707,0.05118753378178394,1.1071487177940904,0.375782200703701,-0.7207402169734671,0.034548952098775274,1.460139105621001,0.35220759601360857,0.877445012260855,0.05422550907304589,-0.8850668158886104
3,Hi,0.5084745762711864,0.4488184798418214,-1.4527042983758027,0.020340067088104607,0.3805063771123649,0.2500855822470439,-0.43662715981354133,0.17226024063738862,0.9097531579442097,0.4210866530933698,-1.155304230854006,0.32058281210979434,0.6010737544977494,0.31440443439613336,0.8960553845713439,0.1298010874409169,0.1460122577112754
4,Hi,0.5397489539748954,0.4467829203336903,-1.4219063791853994,0.01164350296528359,-1.2490457723982544,0.2591562333984889,-0.39369822396002424,0.030362541014504377,0.24497866312686414,0.4163915923621103,-1.1902899496825317,0.007363997862644115,1.570796,0.310359968593687,0.844153986113171,0.01164350296528359,-1.2490457723982544
5,Hi,0.5477178423236515,0.44048483020044266,1.546008016757597,0.040688075673589355,1.3909428270024184,0.28470025433582974,-0.5667292175235064,0.12674841714041044,0.8870870151605253,0.42040844667492916,-1.2901185509887085,0.13679909521203373,0.49934672168013006,0.3063247384304416,0.7601934180705066,0.1050351463152192,0.24497866312686414
6,Hi,0.5578512396694215,0.4366673245941099,-1.5625320521352455,0.008069293204363177,-0.4636476090008061,0.29033761003727915,-0.5638693587807003,0.014434790508266532,0.0,0.4209975385326455,-1.3195807383028326,0.005103469126701238,0.7853981633974483,0.31131161672877555,0.7853981633974483,0.010206938253402477,-0.7853981633974483
7,Hi,0.5732217573221757,0.43561622663006117,1.5624631863547607,0.04138847262337261,-0.6610431688506868,0.2859424385071448,-0.5033993843966541,0.029266069654940552,-0.12435499454676144,0.419073515835578,-1.3258176636680326,0.02835127803818965,-0.6947382761967033,0.3189454226552843,0.7209713239718948,0.013088184236538177,-0.982793723247329
8,Hi,0.6470588235294118,0.4320705010407293,-1.3317581878464275,0.04639840885687757,-0.15264932839526515,0.27977271583133984,-0.24192056868440487,0.19078444859000676,0.3392926144540447,0.4042149751584661,-1.4042129301351334,0.12014592090290362,-0.05875582271572269,0.34283173541166784,0.705278070353634,0.1252672603304704,-0.16977827396833844
9,Hi,0.6540084388185654,0.4333671282647525,-1.3238413816559715,0.004993948503936997,-0.7853981633974483,0.28434825341759623,-0.2510026866430346,0.003531254852030264,0.0,0.4005756886785272,-1.4114446858909797,0.007896125895015631,-1.1071487177940904,0.3364157387711885,0.681298225287849,0.014125019408121057,1.570796
10,Hi,0.6379310344827587,0.47458100327660946,-1.0934509444212248,0.0959374444049897,-0.4297622790966885,0.27088936479884923,-0.12102721980920501,0.18202124774102402,0.05992815512120788,0.41223433076444166,-0.9925733625563598,0.3576198107055664,0.09157985014268567,0.3517560306404254,0.9913895000732799,0.29220632115360073,-0.36895954620585647
11,Hi,0.5418502202643172,0.467940664935809,-1.233340257567115,0.06775394289324485,-1.0303768265243125,0.20915469619232102,0.0,0.1210657069433855,0.1283232276857948,0.4393860464474443,-0.9925733625563598,0.06595881725383315,0.8685393952858895,0.3288602429265646,1.0121970114513341,0.019366175573363058,0.9272952180016122
12,Hi,0.543859649122807,0.46549592995814787,-1.233340257567115,0.00861556895994472,-1.1071487177940904,0.18594465756498524,0.10379234045704283,0.022466655154344362,-0.5404195002705842,0.4147660531671528,-0.9570262317783284,0.019646520002751817,1.373400766945016,0.32486521963172016,0.9795042614277751,0.0038529995718547113,-0.0
